04-Jul-2016 14:31:59 CEST  Initiating request to open file file:/afs/cern.ch/work/s/skalafut/public/WR_starting2015/miniAOD/WR_signal_MC/WRToNuEToEEJJ_MW-6000_MNu-3000_TuneCUETP8M1_pythia8_13TeV.root
04-Jul-2016 14:32:02 CEST  Successfully opened file file:/afs/cern.ch/work/s/skalafut/public/WR_starting2015/miniAOD/WR_signal_MC/WRToNuEToEEJJ_MW-6000_MNu-3000_TuneCUETP8M1_pythia8_13TeV.root
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 04-Jul-2016 14:32:04.399 CEST

[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
   89 |    22 -      gamma |  1 |   71   71   -1   -1 |  1  0 |  11.076     -0.215  1.712 |     -1.557     10.966     -2.404    0.000 |
   90 |    22 -      gamma |  1 |   71   71   -1   -1 |  1  0 |  32.753     -0.208  1.712 |     -4.612     32.427     -6.873    0.000 |
   91 |    22 -      gamma |  1 |   72   72   -1   -1 |  1  0 |  29.403     -0.122  1.728 |     -4.599     29.041     -3.592    0.000 |
   92 |    22 -      gamma |  1 |   72   72   -1   -1 |  1  0 |  36.054     -0.125  1.730 |     -5.716     35.598     -4.534   -0.000 |
   93 |   111 -        pi0 |  2 |   77   77  100  100 |  1  1 |  17.199     -1.266  2.552 |    -14.294      9.565    -28.072    0.135 |
   94 |    14 -      nu_mu |  1 |   81   81   -1   -1 |  1  0 |  29.350     -1.372  2.664 |    -26.066     13.492    -54.165    0.000 |
   95 |   -13 -        mu+ |  1 |   81   81   -1   -1 |  1  0 |   4.085     -1.364  2.701 |     -3.694      1.744     -7.464    0.106 |
   96 |  -423 -     D*bar0 |  2 |   81   81  101  101 |  1  1 |  84.170     -1.353  2.583 |    -71.387     44.592   -152.028    2.007 |
   97 |    22 -      gamma |  1 |   82   82   -1   -1 |  1  0 |  34.024     -0.124  1.732 |     -5.465     33.582     -4.229   -0.000 |
   98 |    22 -      gamma |  1 |   83   83   -1   -1 |  1  0 |  10.249     -0.106  1.703 |     -1.346     10.160     -1.089    0.000 |
   99 |   111 -        pi0 |  2 |   61   61  102  103 |  1  2 | 166.528     -0.055 -2.219 |   -100.570   -132.730     -9.097    0.135 |
  100 |    22 -      gamma |  1 |   93   93   -1   -1 |  1  0 |  14.167     -1.267  2.555 |    -11.801      7.837    -23.145   -0.000 |
  101 |  -421 -      Dbar0 |  2 |   96   96  104  104 |  1  1 |  78.773     -1.353  2.584 |    -66.828     41.704   -142.231    1.865 |
  102 |    22 -      gamma |  1 |   99   99   -1   -1 |  1  0 |  31.246     -0.056 -2.220 |    -18.891    -24.889     -1.753    0.000 |
  103 |    22 -      gamma |  1 |   99   99   -1   -1 |  1  0 | 135.282     -0.054 -2.219 |    -81.678   -107.841     -7.344   -0.000 |
  104 |   111 -        pi0 |  2 |  101  101  105  105 |  1  1 |  18.147     -1.351  2.576 |    -15.323      9.723    -32.686    0.135 |
  105 |    22 -      gamma |  1 |  104  104   -1   -1 |  1  0 |  12.145     -1.354  2.572 |    -10.226      6.551    -21.947   -0.000 |
Begin processing the 13th record. Run 1, Event 13, LumiSection 1 at 04-Jul-2016 14:32:07.308 CEST

[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   34 |  0 27 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   37 |  0 20 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |     2 -          u | 21 |    0    0    4    4 |  1  1 |   0.000  24366.055  0.000 |      0.000      0.000   1610.055    0.000 |
    3 |    -1 -       dbar | 21 |    1    1    4    4 |  1  1 |   0.000 -25652.586  0.000 |      0.000      0.000  -2896.586    0.000 |
    4 | 9900024 -       W_R+ | 22 |    2    3    5    5 |  2  1 |   0.000 -24042.531  0.000 |      0.000      0.000  -1286.531 4319.103 |
    5 | 9900024 -       W_R+ | 62 |    4    4    6    7 |  1  2 |  98.201     -3.221 -2.622 |    -85.248    -48.747  -1228.310 4319.103 |
    6 |   -11 -         e+ | 23 |    5    5    8    9 |  1  2 | 1063.347     -0.660 -2.393 |   -778.960   -723.829   -754.301    0.001 |
    7 | 9900012 -      nu_Re | 22 |    5    5   10   10 |  1  1 | 967.973     -0.472  0.772 |    693.712    675.081   -474.010 2999.988 |
    8 |   -11 -         e+ |  1 |    6    6   -1   -1 |  1  0 | 1063.242     -0.660 -2.393 |   -778.872   -723.769   -754.234    0.001 |
    9 |    22 -      gamma |  1 |    6    6   -1   -1 |  1  0 |   0.105     -0.595 -2.547 |     -0.087     -0.059     -0.067    0.000 |
   10 | 9900012 -      nu_Re | 52 |    7    7   11   13 |  1  3 | 967.972     -0.472  0.772 |    693.711    675.081   -474.010 2999.988 |
   11 |    11 -         e- | 23 |   10   10   16   17 |  1  2 | 368.010     -0.605 -1.008 |    196.480   -311.170   -236.610    0.001 |
   12 |    -1 -       dbar | 23 |   10   10   15   44 |  1 21 | 876.250      0.980  0.433 |    795.244    367.970   1003.450    0.330 |
   13 |     2 -          u | 23 |   10   10   14   14 |  1  1 | 686.355     -1.354  2.020 |   -298.013    618.281  -1240.850    0.330 |
   14 |     2 -          u | 52 |   13   13   19   22 |  1  4 | 581.527     -1.354  2.020 |   -252.497    523.850  -1051.334    0.330 |
   15 |    -1 -       dbar | 52 |   12   12   -1   -1 |  1  0 | 437.188      0.926  0.397 |    403.188    169.033    465.073    0.330 |
   16 |    11 -         e- |  1 |   11   11   -1   -1 |  1  0 | 367.996     -0.605 -1.008 |    196.473   -311.158   -236.601    0.001 |
   17 |    22 -      gamma |  1 |   11   11   -1   -1 |  1  0 |   0.014     -0.601 -1.020 |      0.007     -0.012     -0.009    0.000 |
   18 |     3 -          s | 73 |    1    0   25   25 |  2  1 |  14.678     -0.805 -0.426 |     13.365     -6.069    -13.143    0.743 |
   19 |     2 -          u | 71 |   14   14   64   24 |  1  3 | 491.422     -1.352  2.020 |   -213.588    442.578   -886.246    0.330 |
   20 |    21 -          g | 71 |   14   14   64   24 |  1  3 |  76.282     -1.359  2.013 |    -32.658     68.938   -138.699    0.000 |
   21 |    21 -          g | 71 |   14   14   64   24 |  1  3 |  15.639     -1.395  2.019 |     -6.782     14.092    -29.598    0.000 |
   22 |    21 -          g | 71 |   14   12   64   24 |  2  3 |  12.853     -1.453  1.854 |     -3.589     12.342    -25.984    0.555 |
   23 |    -2 -       ubar | 71 |   12   12   64   24 |  1  3 |  12.994     -1.478  1.931 |     -4.583     12.159    -27.013    0.330 |
   24 |   111 -        pi0 |  2 |   19   23   71   71 |  5  1 |  29.686     -1.371  2.018 |    -12.826     26.772    -54.723    0.135 |
   25 |     3 -          s | 71 |   18   18   66   74 |  1  5 |  14.678     -0.805 -0.426 |     13.365     -6.069    -13.143    0.743 |
   26 |    21 -          g | 71 |    1    1   66   74 |  1  5 |   5.676     -0.453 -0.340 |      5.352     -1.892     -2.660    0.000 |
   27 |    21 -          g | 71 |    0    0   66   74 |  1  5 |   6.701      0.064  0.478 |      5.950      3.083      0.429   -0.000 |
   28 |    21 -          g | 71 |    0    0   66   74 |  1  5 |   9.291      0.152  0.511 |      8.102      4.546      1.417    0.000 |
   29 |    21 -          g | 71 |    0    0   66   74 |  1  5 |   8.004      0.217  0.632 |      6.461      4.725      1.749    0.000 |
   30 |    21 -          g | 71 |    0    0   66   74 |  1  5 |  25.275      0.661  0.568 |     21.302     13.603     17.940    0.000 |
   31 |    21 -          g | 71 |    0    0   66   74 |  1  5 |  13.033      0.651  0.650 |     10.374      7.889      9.099   -0.000 |
   32 |    21 -          g | 71 |    0    0   66   74 |  1  5 |  10.552      0.767  0.596 |      8.731      5.926      8.912    0.000 |
   33 |    21 -          g | 71 |    0    0   66   74 |  1  5 |   8.550      0.464  1.084 |      3.996      7.559      4.108    0.000 |
   34 |    -3 -       sbar | 71 |    0    1   66   74 |  2  5 |   1.762      0.246  2.640 |     -1.545      0.847      0.437    0.500 |
   35 |   111 -        pi0 |  2 |   25   34   72   72 | 12  1 |  14.532      0.737  0.621 |     11.815      8.460     11.701    0.135 |
   36 |     3 -          s | 71 |    0    1   37   37 |  2  1 |   5.945     -0.287  0.266 |      5.737      1.560     -1.731    0.500 |
   37 |  2212 -         p+ |  1 |   36    1   -1   -1 |  2  0 |   0.369     -7.606 -1.394 |      0.065     -0.363   -370.689    0.938 |
   38 |    21 -          g | 71 |    0    0   70   43 |  1  3 |   5.916      0.896  2.374 |     -4.256      4.108      6.035    0.328 |
   39 |    21 -          g | 71 |    0    0   70   43 |  1  3 |  26.006      0.558  1.923 |     -8.971     24.410     15.266    0.000 |
   40 |    21 -          g | 71 |    0    0   70   43 |  1  3 |   6.054      2.431 -0.933 |      3.606     -4.862     34.137    0.000 |
   41 |    21 -          g | 71 |    0    1   70   43 |  2  3 |   7.216      2.139 -0.698 |      5.530     -4.636     30.226    0.569 |
   42 |  2212 -         p+ |  1 |    0   41   -1   -1 |  6  0 |   2.484      1.264 -1.425 |      0.361     -2.458      4.043    0.938 |
   43 |  2212 -         p+ |  1 |    0   41   -1   -1 |  6  0 |   1.112      7.034 -1.956 |     -0.418     -1.030    630.847    0.938 |
   44 |     2 -          u | 71 |   12   12   59   68 |  1  3 |  29.026     -1.509  1.973 |    -11.367     26.708    -62.400    0.330 |
   45 |    21 -          g | 71 |   12   12   59   68 |  1  3 |   8.196     -0.891  1.780 |     -1.705      8.017     -8.305    0.342 |
   46 |    21 -          g | 71 |   12   12   59   68 |  1  3 |   8.875     -1.003  1.779 |     -1.831      8.683    -10.467    0.000 |
   47 |    21 -          g | 71 |   12   12   59   68 |  1  3 |   5.920     -0.868  1.832 |     -1.526      5.720     -5.812   -0.000 |
   48 |    21 -          g | 71 |   12   12   59   68 |  1  3 |   6.497     -0.232  1.782 |     -1.360      6.353     -1.520    0.000 |
   49 |    21 -          g | 71 |   12   12   59   68 |  1  3 |   8.132      0.222  0.801 |      5.661      5.837      1.816    0.000 |
   50 |    21 -          g | 71 |   12   12   59   68 |  1  3 |  20.810     -0.103  2.869 |    -20.040      5.610     -2.138    0.000 |
   51 |    21 -          g | 71 |   12   12   59   68 |  1  3 |   9.607      0.851  2.386 |     -6.994      6.587      9.200    0.468 |
   52 |    21 -          g | 71 |   12   12   59   68 |  1  3 |   5.800      0.842  2.240 |     -3.596      4.550      5.483   -0.000 |
   53 |    21 -          g | 71 |   12   12   59   68 |  1  3 |   5.645      1.323 -0.042 |      5.640     -0.238      9.845    0.000 |
   54 |    21 -          g | 71 |   12   12   59   68 |  1  3 |   6.644      1.256  0.394 |      6.136      2.548     10.713    0.000 |
   55 |    21 -          g | 71 |   12   12   59   68 |  1  3 |  12.872      1.071  0.513 |     11.214      6.319     16.580    0.000 |
   56 |    21 -          g | 71 |   12   12   59   68 |  1  3 |  63.217      0.932  0.400 |     58.218     24.638     67.816    0.000 |
   57 |    21 -          g | 71 |   12   12   59   68 |  1  3 | 157.701      0.920  0.400 |    145.258     61.397    166.326    0.000 |
   58 |    -3 -       sbar | 71 |   12   12   59   68 |  1  3 |  58.467      0.931  0.411 |     53.590     23.376     62.631    0.500 |
   59 |  2212 -         p+ |  1 |   44   58   -1   -1 | 16  0 |   1.705      0.721  2.564 |     -1.429      0.931      1.339    0.938 |
   60 |   111 -        pi0 |  2 |   44   58   75   75 | 16  1 |  35.820      0.906  0.405 |     32.917     14.125     37.068    0.135 |
   61 |     2 -          u | 71 |    0    0   76   69 |  1  3 |   1.988      4.159 -2.446 |     -1.526     -1.274     63.615    0.330 |
   62 |    21 -          g | 71 |    1    1   76   69 |  1  3 |  13.582     -3.401 -1.214 |      4.746    -12.726   -203.558    0.000 |
   63 |    -3 -       sbar | 71 |    1    1   76   69 |  1  3 |  10.193     -0.235 -2.565 |     -8.547     -5.555     -2.417    0.500 |
   64 |   111 -        pi0 |  2 |   19   23   78   79 |  5  2 | 341.254     -1.355  2.021 |   -148.457    307.269   -617.305    0.135 |
   65 |   111 -        pi0 |  2 |   19   23   80   80 |  5  1 |  11.721     -1.367  2.004 |     -4.925     10.637    -21.504    0.135 |
   66 |   310 -       K_S0 |  1 |   25   34   -1   -1 | 12  0 |   3.877     -0.628 -0.365 |      3.622     -1.382     -2.598    0.498 |
   67 |   310 -       K_S0 |  1 |   25   34   -1   -1 | 12  0 |   3.350      0.412  0.409 |      3.074      1.331      1.418    0.498 |
   68 |   111 -        pi0 |  2 |   44   58   81   81 | 16  1 |  56.474      0.919  0.401 |     51.996     22.038     59.482    0.135 |
   69 |   310 -       K_S0 |  1 |   61   63   -1   -1 |  5  0 |   1.126     -0.090 -2.286 |     -0.739     -0.850     -0.102    0.498 |
   70 |   310 -       K_S0 |  1 |    0   41   -1   -1 |  6  0 |   1.815     -1.167  0.388 |      1.680      0.686     -2.634    0.498 |
   71 |    22 -      gamma |  1 |   24   24   -1   -1 |  1  0 |  21.145     -1.371  2.015 |     -9.081     19.096    -38.971    0.000 |
   72 |    22 -      gamma |  1 |   35   35   -1   -1 |  1  0 |  13.158      0.735  0.619 |     10.716      7.636     10.562   -0.000 |
   73 |    11 -         e- |  1 |   25   34   -1   -1 | 12  0 |   0.155     -0.659  1.028 |      0.080      0.133     -0.110    0.001 |
   74 |   -11 -         e+ |  1 |   25   34   -1   -1 | 12  0 |   0.043     -0.425  1.268 |      0.013      0.041     -0.019    0.001 |
   75 |    22 -      gamma |  1 |   60   60   -1   -1 |  1  0 |  35.656      0.906  0.405 |     32.766     14.063     36.911   -0.000 |
   76 |    11 -         e- |  1 |   61   63   -1   -1 |  5  0 |   0.122     -3.370 -1.819 |     -0.030     -0.119     -1.780    0.001 |
   77 |   -11 -         e+ |  1 |   61   63   -1   -1 |  5  0 |   0.062     -3.450 -1.776 |     -0.013     -0.060     -0.969    0.001 |
   78 |    22 -      gamma |  1 |   64   64   -1   -1 |  1  0 |  80.953     -1.355  2.020 |    -35.166     72.916   -146.424   -0.000 |
   79 |    22 -      gamma |  1 |   64   64   -1   -1 |  1  0 | 260.301     -1.355  2.021 |   -113.291    234.353   -470.881   -0.000 |
   80 |    22 -      gamma |  1 |   65   65   -1   -1 |  1  0 |  10.669     -1.367  2.001 |     -4.448      9.698    -19.575    0.000 |
   81 |    22 -      gamma |  1 |   68   68   -1   -1 |  1  0 |  50.119      0.918  0.401 |     46.134     19.585     52.744    0.000 |
Begin processing the 14th record. Run 1, Event 14, LumiSection 1 at 04-Jul-2016 14:32:07.310 CEST

[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   86 |  0 16 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   95 |  0 47 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |    -1 -       dbar | 21 |    0    0    4    4 |  1  1 |   0.000  25993.203  0.000 |      0.000      0.000   3237.203    0.000 |
    3 |     2 -          u | 21 |    1    1    4    4 |  1  1 |   0.000 -25533.574  0.000 |      0.000      0.000  -2777.574    0.000 |
    4 | 9900024 -       W_R+ | 22 |    2    3    5    5 |  2  1 |   0.000  23215.629  0.000 |      0.000      0.000    459.629 5997.189 |
    5 | 9900024 -       W_R+ | 62 |    4    4    7    8 |  1  2 | 570.612     -0.031  2.867 |   -549.297    154.500    -17.632 5997.189 |
    6 |    22 -      gamma |  1 |    1    1   -1   -1 |  1  0 |   0.818     -0.936 -0.208 |      0.800     -0.169     -0.882    0.000 |
    7 |   -11 -         e+ |  1 |    5    5   -1   -1 |  1  0 | 2100.506      0.386  1.414 |    327.463   2074.824    831.355    0.001 |
    8 | 9900012 -      nu_Re | 22 |    5    5    9   11 |  1  3 | 2111.007     -0.392 -1.999 |   -876.760  -1920.324   -848.987 3000.004 |
    9 |   -11 -         e+ | 23 |    8    8   13   14 |  1  2 | 571.493     -0.996  0.993 |    312.069    478.767   -668.272    0.001 |
   10 |     1 -          d | 23 |    8    8   12   12 |  1  1 | 391.347      0.834 -2.030 |   -173.443   -350.813    365.467    0.330 |
   11 |    -4 -       cbar | 23 |    8    8   57   30 |  1 24 | 2286.143     -0.237 -2.031 |  -1015.387  -2048.277   -546.181    1.500 |
   12 |     1 -          d | 52 |   10   10   21   34 |  1 13 | 378.921      0.834 -2.030 |   -167.936   -339.675    353.863    0.330 |
   13 |   -11 -         e+ |  1 |    9    9   -1   -1 |  1  0 | 369.194     -0.996  0.995 |    201.083    309.628   -431.752    0.001 |
   14 |    22 -      gamma |  1 |    9    9   -1   -1 |  1  0 | 202.300     -0.996  0.990 |    110.985    169.138   -236.520    0.000 |
   15 |    21 -          g | 73 |    1    1   40   40 |  1  1 |  12.362     -0.423 -0.062 |     12.338     -0.768     -5.386    0.169 |
   16 |    21 -          g | 71 |    0    1   18   18 |  2  1 |   7.069     -2.976 -2.267 |     -4.535     -5.422    -69.152    0.000 |
   17 |    -4 -       cbar | 71 |    1    1   18   18 |  1  1 |   0.551     -1.593 -0.080 |      0.549     -0.044     -1.299    1.500 |
   18 |  -423 -     D*bar0 |  2 |    1   17   97   97 |  4  1 |   0.612     -2.306 -1.520 |      0.031     -0.611     -3.039    2.007 |
   19 |     1 -          d | 71 |    1    1   -1   -1 |  1  0 |  25.395     -1.244  0.836 |     17.027     18.841    -40.386    0.330 |
   20 |    21 -          g | 71 |    1    1   -1   -1 |  1  0 |   8.452     -0.511 -1.245 |      2.705     -8.007     -4.505    0.000 |
   21 |     1 -          d | 71 |   12   12   87   34 |  1  5 | 181.167      0.784 -2.049 |    -83.366   -160.846    157.154    0.330 |
   22 |    21 -          g | 71 |   12   12   87   34 |  1  5 |  71.857      0.794 -2.057 |    -33.549    -63.545     63.249   -0.000 |
   23 |    21 -          g | 71 |   12   12   87   34 |  1  5 |  31.817      0.777 -2.022 |    -13.868    -28.636     27.272    0.000 |
   24 |    21 -          g | 71 |   12   12   87   34 |  1  5 |  13.629      0.821 -1.935 |     -4.861    -12.733     12.485    0.000 |
   25 |    21 -          g | 71 |   12   12   87   34 |  1  5 |  25.653      0.901 -1.999 |    -10.648    -23.339     26.354    0.000 |
   26 |    21 -          g | 71 |   12   12   87   34 |  1  5 |   8.137      0.836 -1.826 |     -2.058     -7.873      7.625   -0.000 |
   27 |    21 -          g | 71 |   12   12   87   34 |  1  5 |  50.189      0.790 -1.884 |    -15.486    -47.740     43.890   -0.000 |
   28 |    21 -          g | 71 |   12   12   87   34 |  1  5 |   7.115      1.101 -2.565 |     -5.966     -3.877      9.520    0.000 |
   29 |    21 -          g | 71 |   11   11   87   34 |  1  5 |   5.538      0.486 -2.123 |     -2.906     -4.714      2.797   -0.000 |
   30 |    21 -          g | 71 |   11   11   87   34 |  1  5 |  14.056      0.112 -1.837 |     -3.692    -13.563      1.573   -0.000 |
   31 |    -2 -       ubar | 71 |   11   11   87   34 |  1  5 |  32.363     -0.008 -1.913 |    -10.848    -30.491     -0.270    0.330 |
   32 |   111 -        pi0 |  2 |   21   31   98   98 | 12  1 |  17.264      0.771 -2.032 |     -7.676    -15.464     14.676    0.135 |
   33 |   111 -        pi0 |  2 |   21   31   99   99 | 12  1 |  20.029      0.799 -2.029 |     -8.864    -17.961     17.753    0.135 |
   34 |   111 -        pi0 |  2 |   21   31  100  100 | 12  1 |  20.421      0.030 -1.896 |     -6.534    -19.348      0.614    0.135 |
   35 |     3 -          s | 71 |    1    1   89  102 |  1  3 |   7.578     -0.135 -0.194 |      7.437     -1.457     -1.024    0.500 |
   36 |    21 -          g | 71 |    1    1   89  102 |  1  3 |  13.589     -0.049 -0.063 |     13.562     -0.849     -0.668    0.000 |
   37 |    21 -          g | 71 |    1    1   89  102 |  1  3 |  85.729     -0.077 -0.085 |     85.416     -7.312     -6.571    0.000 |
   38 |    21 -          g | 71 |    1    1   89  102 |  1  3 |  12.629     -0.122 -0.077 |     12.591     -0.977     -1.551    0.000 |
   39 |    21 -          g | 71 |    1    1   89  102 |  1  3 |  13.141     -0.610 -0.101 |     13.074     -1.326     -8.520    0.000 |
   40 |    21 -          g | 71 |   15   15   89  102 |  1  3 |  12.362     -0.423 -0.062 |     12.338     -0.768     -5.386    0.169 |
   41 |    21 -          g | 71 |    1    1   89  102 |  1  3 |   5.562     -0.764 -0.486 |      4.917     -2.600     -4.674    0.000 |
   42 |    21 -          g | 71 |    1    1   89  102 |  1  3 |   7.053     -1.033 -0.503 |      6.178     -3.402     -8.653    0.000 |
   43 |    -1 -       dbar | 71 |    1    1   89  102 |  1  3 |  22.888     -1.487  0.732 |     17.032     15.290    -48.025    0.330 |
   44 |     2 -          u | 71 |   11   11   90   60 |  1  7 |  47.118     -0.018 -1.887 |    -14.631    -44.789     -0.865    0.330 |
