28-Oct-2015 09:15:30 CDT  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODSignalSamples/WRToNuEToEEJJ_MW-1400_MNu-700-TuneCUETP8M1_pythia8_13TeV_1.root
28-Oct-2015 09:15:35 CDT  Successfully opened file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODSignalSamples/WRToNuEToEEJJ_MW-1400_MNu-700-TuneCUETP8M1_pythia8_13TeV_1.root
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 28-Oct-2015 09:15:46.280 CDT

[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
   47 |    22 -      gamma |  1 |   39   39   -1   -1 |  1  0 |  62.945      0.283  1.068 |     30.317     55.163     18.022    0.000 |
   48 |    22 -      gamma |  1 |   39   39   -1   -1 |  1  0 |  12.608      0.283  1.063 |      6.125     11.020      3.612   -0.000 |
   49 |    11 -         e- |  1 |   11   14   -1   -1 |  6  0 |   0.053     -1.436 -0.769 |      0.038     -0.037     -0.104    0.001 |
   50 |   -11 -         e+ |  1 |   11   14   -1   -1 |  6  0 |   0.036     -1.449 -0.761 |      0.026     -0.025     -0.073    0.001 |
   51 |    11 -         e- |  1 |   11   14   -1   -1 |  6  0 |   0.096     -4.776  1.733 |     -0.016      0.095     -5.707    0.001 |
   52 |   -11 -         e+ |  1 |   11   14   -1   -1 |  6  0 |   0.487     -4.775  1.730 |     -0.077      0.481    -28.839    0.001 |
   53 |    22 -      gamma |  1 |   45   45   -1   -1 |  1  0 |  17.801      0.285  1.676 |     -1.867     17.703      5.137    0.000 |
   54 |    22 -      gamma |  1 |   46   46   -1   -1 |  1  0 |  33.016      0.283  1.691 |     -3.946     32.780      9.472    0.000 |
   55 |    22 -      gamma |  1 |   46   46   -1   -1 |  1  0 |  16.560      0.277  1.691 |     -1.986     16.441      4.652   -0.000 |
28-Oct-2015 09:15:51 CDT  Closed file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODSignalSamples/WRToNuEToEEJJ_MW-1400_MNu-700-TuneCUETP8M1_pythia8_13TeV_1.root
