30-Oct-2015 07:55:31 CDT  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR_2600_ToENu_1300_ToEEJJ_GENSIM/WRToENuToEEJJ_MW-2600_MNu-1300_13TeV_GEN-SIM/150519_203237/0000/WR_M-2600_ToENu_M-1300_13TeV_GEN_SIM_1.root
30-Oct-2015 07:55:32 CDT  Successfully opened file file:/eos/uscms/store/user/skalafut/WR_2600_ToENu_1300_ToEEJJ_GENSIM/WRToENuToEEJJ_MW-2600_MNu-1300_13TeV_GEN-SIM/150519_203237/0000/WR_M-2600_ToENu_M-1300_13TeV_GEN_SIM_1.root
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 30-Oct-2015 07:55:37.549 CDT

[ParticleListDrawer] analysing particle collection genParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1  191  255 |  0  6 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1  192  256 |  0  5 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |    -1 -       dbar | 21 |    5    5    4    4 |  1  1 |   0.000  23161.855  0.000 |      0.000      0.000    405.855    0.000 |
    3 |     2 -          u | 21 |    6    6    4    4 |  1  1 |   0.000 -26879.385  0.000 |      0.000      0.000  -4123.385    0.000 |
    4 | 9900024 -       W_R+ | 22 |    2    3    7    7 |  2  1 |   0.000 -26473.531  0.000 |      0.000      0.000  -3717.531 2587.274 |
    5 |    -1 -       dbar | 41 |    9    9    2    8 |  1  2 |   0.000  23261.945  0.000 |      0.000      0.000    505.945    0.000 |
    6 |     2 -          u | 42 |   10   10    3    3 |  1  1 |   0.000    -41.595  1.586 |     -0.000      0.000  -4123.381    0.000 |
    7 | 9900024 -       W_R+ | 44 |    4    4   11   11 |  1  1 |  53.601     -4.930  1.586 |     -0.833     53.595  -3709.401 2587.274 |
    8 |    21 -          g | 43 |    5    5   12   12 |  1  1 |  53.601      1.309 -1.555 |      0.833    -53.595     91.961    0.000 |
    9 |    21 -          g | 41 |   14   14    5   13 |  1  2 |   0.000     43.055  0.000 |      0.000      0.000    554.735   -0.000 |
   10 |     2 -          u | 42 |   15   15    6    6 |  1  1 |   0.000    -44.257  2.034 |     -0.000      0.000  -4123.387    0.000 |
   11 | 9900024 -       W_R+ | 44 |    7    7   16   16 |  1  1 |  50.220     -4.995  1.534 |      1.844     50.186  -3709.005 2587.274 |
   12 |    21 -          g | 44 |    8    8   17   17 |  1  1 |  54.446      1.293 -1.543 |      1.486    -54.426     91.735   -0.000 |
   13 |     1 -          d | 43 |    9    9   18   18 |  1  1 |   5.392      2.895  2.237 |     -3.331      4.240     48.621    0.330 |
   14 |    21 -          g | 42 |   22   22    9    9 |  1  1 |   0.000     36.521  0.894 |      0.000      0.000    554.735   -0.000 |
   15 |     2 -          u | 41 |   43   43   10   19 |  1  2 |   0.000    -38.531 -2.243 |     -0.000     -0.000  -4150.804    0.000 |
   16 | 9900024 -       W_R+ | 44 |   11   11   49   49 |  1  1 |  47.440     -5.053  1.578 |     -0.351     47.439  -3709.982 2587.274 |
   17 |    21 -          g | 44 |   12   12   20   21 |  1  2 |  54.451      1.293 -1.544 |      1.482    -54.431     91.730   -0.000 |
   18 |     1 -          d | 44 |   13   13   51   51 |  1  1 |   5.392      2.895  2.237 |     -3.331      4.240     48.610    0.330 |
   19 |    21 -          g | 43 |   15   15   33   33 |  1  1 |   3.523     -2.713  0.896 |      2.200      2.752    -26.429    0.000 |
   20 |    21 -          g | 51 |   17   17   31   32 |  1  2 |  12.538      1.574 -1.699 |     -1.599    -12.436     28.952   -0.000 |
   21 |    21 -          g | 51 |   17   17   53   53 |  1  1 |  42.108      1.227 -1.498 |      3.081    -41.995     65.638    0.000 |
   22 |    21 -          g | 53 |   47   47   14   14 |  1  1 |   0.000     35.833  0.894 |      0.000      0.000    557.595   -0.000 |
   23 |    21 -          g | 31 |   59   59   25   26 |  1  2 |   0.000  23243.828  0.000 |      0.000      0.000    487.828   -0.000 |
   24 |    21 -          g | 31 |   60   60   25   26 |  1  2 |   0.000 -22756.066  0.000 |      0.000      0.000     -0.066   -0.000 |
   25 |    21 -          g | 33 |   23   24   61   61 |  2  1 |   2.786      5.792 -0.762 |      2.016     -1.923    456.585    0.000 |
   26 |    21 -          g | 33 |   23   24   62   62 |  2  1 |   2.786      3.110  2.380 |     -2.016      1.923     31.176   -0.000 |
   27 |    21 -          g | 31 |  145  145   29   30 |  1  2 |   0.000  22932.051  0.000 |      0.000      0.000    176.051    0.000 |
   28 |    21 -          g | 31 |  146  146   29   30 |  1  2 |   0.000 -22756.154  0.000 |      0.000      0.000     -0.154   -0.000 |
   29 |    21 -          g | 33 |   27   28   83   83 |  2  1 |   2.661      4.812 -1.549 |      0.057     -2.661    163.622    0.000 |
   30 |    21 -          g | 33 |   27   28   81   82 |  2  2 |   2.661      2.233  1.592 |     -0.057      2.661     12.276   -0.000 |
   31 |    21 -          g | 51 |   20   20   34   35 |  1  2 |  13.766      1.435 -1.719 |     -2.029    -13.616     27.262   -0.000 |
   32 |    21 -          g | 51 |   20   20   36   36 |  1  1 |   1.340      0.703  1.200 |      0.486      1.249      1.021    0.000 |
   33 |    21 -          g | 52 |   19   19   41   42 |  1  2 |   3.434     -2.713  0.896 |      2.144      2.682    -25.760   -0.000 |
   34 |    21 -          g | 51 |   31   31   50   50 |  1  1 |   3.260      1.266 -2.253 |     -2.056     -2.530      5.321   -0.000 |
   35 |    21 -          g | 51 |   31   31   44   45 |  1  2 |  10.820      1.465 -1.559 |      0.131    -10.819     22.158    0.000 |
   36 |    21 -          g | 52 |   32   32   46   46 |  1  1 |   1.055      0.703  1.200 |      0.382      0.983      0.803    0.000 |
   37 |    21 -          g | 31 |   73   73   39   40 |  1  2 |   0.000  22877.695  0.000 |      0.000      0.000    121.695    0.000 |
   38 |    21 -          g | 31 |   74   74   39   40 |  1  2 |   0.000 -22756.098  0.000 |      0.000      0.000     -0.098    0.000 |
   39 |    21 -          g | 33 |   37   38   75   75 |  2  1 |   1.935      2.377  2.704 |     -1.752      0.820     10.326   -0.000 |
   40 |    21 -          g | 33 |   37   38   76   76 |  2  1 |   1.935      4.745 -0.438 |      1.752     -0.820    111.271    0.000 |
   41 |    21 -          g | 51 |   33   33   52   52 |  1  1 |   4.587     -3.102  0.648 |      3.658      2.767    -50.893    0.000 |
   42 |    21 -          g | 51 |   33   33   56   56 |  1  1 |   1.516     -4.251 -3.086 |     -1.514     -0.085    -53.209   -0.000 |
   43 |     2 -          u | 53 |   48   48   15   15 |  1  1 |   0.000    -38.034 -1.935 |     -0.000     -0.000  -4229.142    0.000 |
   44 |    21 -          g | 51 |   35   35   55   55 |  1  1 |   0.833      2.418 -2.326 |     -0.571     -0.606      4.636   -0.000 |
   45 |    21 -          g | 51 |   35   35   57   57 |  1  1 |   9.939      1.345 -1.488 |      0.821     -9.905     17.774    0.000 |
   46 |    21 -          g | 52 |   36   36   54   54 |  1  1 |   0.724      0.703  1.200 |      0.262      0.675      0.552   -0.000 |
   47 |    21 -          g | 41 |   80   80   22   58 |  1  2 |   0.000     42.875  0.785 |      0.000      0.000    655.263   -0.000 |
   48 |     2 -          u | 42 |  192  192   43   43 |  1  1 |   0.000    -44.628 -2.820 |     -0.000     -0.000  -4229.145    0.000 |
   49 | 9900024 -       W_R+ | 44 |   16   16  193  193 |  1  1 |  48.314     -5.034  1.557 |      0.670     48.310  -3710.022 2587.274 |
   50 |    21 -          g | 44 |   34   34  106  107 |  1  2 |   3.241      1.272 -2.252 |     -2.042     -2.518      5.326   -0.000 |
   51 |     1 -          d | 44 |   18   18   78   79 |  1  2 |   5.401      2.894  2.207 |     -3.208      4.344     48.610    0.330 |
   52 |    21 -          g | 44 |   41   41   86   86 |  1  1 |   4.587     -3.102  0.648 |      3.658      2.768    -50.900    0.000 |
   53 |    21 -          g | 44 |   21   21   70   71 |  1  2 |  41.968      1.230 -1.493 |      3.261    -41.841     65.679   -0.000 |
   54 |    21 -          g | 44 |   46   46   84   85 |  1  2 |   0.726      0.700  1.198 |      0.264      0.676      0.551   -0.000 |
   55 |    21 -          g | 44 |   44   44  111  111 |  1  1 |   0.818      2.437 -2.324 |     -0.559     -0.596      4.638   -0.000 |
   56 |    21 -          g | 44 |   42   42  169  169 |  1  1 |   1.516     -4.251 -3.086 |     -1.514     -0.085    -53.207   -0.000 |
   57 |    21 -          g | 44 |   45   45   89   89 |  1  1 |   9.902      1.348 -1.483 |      0.869     -9.864     17.783   -0.000 |
   58 |    21 -          g | 43 |   47   47   72   72 |  1  1 |   1.840      4.665 -2.435 |     -1.400     -1.194     97.658   -0.000 |
   59 |    21 -          g | 41 |   64   64   23   63 |  1  2 |   0.000     43.785  0.124 |      0.000      0.000    580.160   -0.000 |
   60 |    21 -          g | 42 |   65   65   24   24 |  1  1 |   0.000    -34.710  0.124 |      0.000      0.000     -0.066    0.000 |
   61 |    21 -          g | 44 |   25   25   66   66 |  1  1 |   2.405      6.067 -1.047 |      1.203     -2.083    518.906   -0.000 |
   62 |    21 -          g | 44 |   26   26   67   67 |  1  1 |   2.819      3.226  2.396 |     -2.072      1.912     35.446   -0.000 |
   63 |    21 -          g | 43 |   59   59   68   68 |  1  1 |   0.886      4.063  0.194 |      0.869      0.171     25.742    0.000 |
   64 |    21 -          g | 42 |   90   90   59   59 |  1  1 |   0.000     39.606  2.302 |     -0.000      0.000    580.159   -0.000 |
   65 |    21 -          g | 41 |   91   91   60   69 |  1  2 |   0.000    -32.911 -1.249 |      0.000     -0.000     -1.103    0.000 |
   66 |    21 -          g | 44 |   61   61   92   92 |  1  1 |   2.465      6.078 -1.043 |      1.242     -2.129    537.367    0.001 |
   67 |    21 -          g | 44 |   62   62   93   93 |  1  1 |   1.602      2.646  2.490 |     -1.273      0.972     11.234    0.000 |
   68 |    21 -          g | 44 |   63   63   94   94 |  1  1 |   0.979      4.148  0.044 |      0.978      0.043     30.975    0.000 |
   69 |    21 -          g | 43 |   65   65   95   95 |  1  1 |   1.463     -0.348  2.275 |     -0.947      1.115     -0.520    0.000 |
   70 |    21 -          g | 51 |   53   53  108  108 |  1  1 |  41.121      1.219 -1.482 |      3.666    -40.957     63.513    0.000 |
   71 |    21 -          g | 51 |   53   53  115  116 |  1  2 |   1.010      2.179 -2.018 |     -0.437     -0.911      4.407    0.000 |
   72 |    21 -          g | 52 |   58   58  123  123 |  1  1 |   1.798      4.665 -2.435 |     -1.368     -1.167     95.416   -0.000 |
   73 |    21 -          g | 42 |  247  247   37   37 |  1  1 |   0.000     37.313  0.161 |      0.000      0.000    121.695    0.000 |
   74 |    21 -          g | 41 |  248  248   38   77 |  1  2 |   0.000    -34.638  3.079 |     -0.000      0.000     -1.965    0.000 |
   75 |    21 -          g | 44 |   39   39  249  249 |  1  1 |   2.915      2.755  2.917 |     -2.841      0.650     22.815    0.000 |
   76 |    21 -          g | 44 |   40   40   97   98 |  1  2 |   1.850      4.669 -0.469 |      1.650     -0.836     98.584    0.000 |
   77 |    21 -          g | 43 |   74   74   99   99 |  1  1 |   1.206     -1.129  0.155 |      1.191      0.186     -1.669   -0.000 |
   78 |     1 -          d | 51 |   51   51  161  162 |  1  2 |   1.895      2.483  1.977 |     -0.750      1.741     11.266    0.330 |
   79 |    21 -          g | 51 |   51   51  163  163 |  1  1 |   3.581      3.262  2.328 |     -2.459      2.604     46.687    0.000 |
   80 |    21 -          g | 53 |  191  191   47   47 |  1  1 |   0.000     42.196  0.785 |      0.000      0.000    664.606   -0.000 |
   81 |    21 -          g | 51 |   30   30  148  148 |  1  1 |   2.333      2.852  1.425 |      0.339      2.308     20.132   -0.000 |
