04-Jul-2016 14:15:30 CEST  Initiating request to open file file:/afs/cern.ch/work/s/skalafut/public/WR_starting2015/miniAOD/WR_signal_MC/WRToNuEToEEJJ_MW-2000_MNu-1000_TuneCUETP8M1_pythia8_13TeV_3.root
04-Jul-2016 14:15:34 CEST  Successfully opened file file:/afs/cern.ch/work/s/skalafut/public/WR_starting2015/miniAOD/WR_signal_MC/WRToNuEToEEJJ_MW-2000_MNu-1000_TuneCUETP8M1_pythia8_13TeV_3.root
Begin processing the 1st record. Run 1, Event 6442, LumiSection 58 at 04-Jul-2016 14:15:35.772 CEST

[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   15 |  0  8 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   17 |  0 10 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |     1 -          d | 21 |    0    0    4    4 |  1  1 |   0.000  23967.441  0.000 |      0.000      0.000   1211.441    0.000 |
    3 |    -2 -       ubar | 21 |    1    1    4    4 |  1  1 |   0.000 -23656.578  0.000 |      0.000      0.000   -900.578    0.000 |
    4 | -9900024 -       W_R- | 22 |    2    3    5    5 |  2  1 |   0.000  23066.863  0.000 |      0.000      0.000    310.863 2089.017 |
    5 | -9900024 -       W_R- | 62 |    4    4    6    7 |  1  2 |   7.101      4.472  0.166 |      7.003      1.171    310.776 2089.017 |
    6 |    11 -         e- | 23 |    5    5    8    9 |  1  2 | 806.503      0.098 -0.363 |    753.899   -286.503     79.094    0.001 |
    7 | 9900012 -      nu_Re | 22 |    5    5   10   10 |  1  1 | 800.380      0.286  2.774 |   -746.895    287.674    231.682 1000.000 |
    8 |    11 -         e- |  1 |    6    6   -1   -1 |  1  0 | 806.498      0.098 -0.363 |    753.894   -286.501     79.094    0.001 |
    9 |    22 -      gamma |  1 |    6    6   -1   -1 |  1  0 |   0.005      0.098 -0.363 |      0.005     -0.002      0.000   -0.000 |
   10 | 9900012 -      nu_Re | 52 |    7    7   11   13 |  1  3 | 800.380      0.286  2.774 |   -746.895    287.674    231.682 1000.000 |
   11 |    11 -         e- |  1 |   10   10   -1   -1 |  1  0 | 139.715      1.198 -0.027 |    139.663     -3.834    210.499    0.001 |
   12 |    -1 -       dbar | 23 |   10   10   14   14 |  1  1 | 593.192     -0.042 -3.054 |   -590.941    -51.631    -25.119    0.330 |
   13 |     2 -          u | 23 |   10   10   28   34 |  1 10 | 452.917      0.102  2.282 |   -295.617    343.139     46.303    0.330 |
   14 |    -1 -       dbar | 52 |   12   12   25   22 |  1 13 | 561.064     -0.042 -3.054 |   -558.935    -48.835    -23.759    0.330 |
   15 |     3 -          s | 71 |    1    0   -1   -1 |  2  0 |   8.032     -1.565  1.164 |      3.181      7.376    -18.363    0.533 |
   16 |     2 -          u | 71 |    1    1   17   17 |  1  1 |   6.366     -4.292 -2.819 |     -6.038     -2.018   -232.717    0.330 |
   17 |  2212 -         p+ |  1 |   16    1   -1   -1 |  2  0 |   0.614     -2.771  3.136 |     -0.614      0.003     -4.882    0.938 |
   18 |     4 -          c | 71 |   13   13   26   43 |  1  6 |   1.364     -0.758 -2.723 |     -1.247     -0.554     -1.135    1.500 |
   19 |    21 -          g | 71 |   14   14   26   43 |  1  6 |   9.219      0.215 -2.837 |     -8.795     -2.763      1.993   -0.000 |
   20 |    21 -          g | 71 |   14   14   26   43 |  1  6 |   8.797      0.418 -2.873 |     -8.483     -2.332      3.782    0.000 |
   21 |    21 -          g | 71 |   14   14   26   43 |  1  6 |   5.222      0.254 -2.806 |     -4.931     -1.720      1.342   -0.000 |
   22 |    21 -          g | 71 |   14   14   26   43 |  1  6 |   7.107      0.305 -2.970 |     -7.003     -1.212      2.202   -0.000 |
   23 |    21 -          g | 71 |   14   14   26   43 |  1  6 |  25.375      0.214 -2.951 |    -24.916     -4.801      5.476    0.000 |
   24 |    21 -          g | 71 |   14   14   26   43 |  1  6 |  10.634     -0.070 -3.118 |    -10.631     -0.256     -0.746    0.000 |
   25 |    -1 -       dbar | 71 |   14   14   26   43 |  1  6 | 494.620     -0.083 -3.077 |   -493.582    -32.026    -41.331    0.330 |
   26 |   413 -        D*+ |  2 |   18   25   46   46 |  9  1 |   2.564      0.053 -2.855 |     -2.460     -0.724      0.135    2.010 |
   27 |   111 -        pi0 |  2 |   18   25   48   49 |  9  2 |  30.048     -0.086 -3.084 |    -29.999     -1.722     -2.602    0.135 |
   28 |     2 -          u | 71 |   13   13   35   36 |  1  2 | 263.438      0.151  2.364 |   -187.684    184.863     39.946    0.330 |
   29 |    21 -          g | 71 |   13   13   35   36 |  1  2 |  46.999      0.150  2.377 |    -33.928     32.523      7.065    0.000 |
   30 |    21 -          g | 71 |   13   13   35   36 |  1  2 |  72.925      0.156  2.352 |    -51.374     51.757     11.452    0.000 |
   31 |    21 -          g | 71 |   13   13   35   36 |  1  2 |   6.126      0.140  2.291 |     -4.040      4.605      0.863   -0.000 |
   32 |    21 -          g | 71 |   13   13   35   36 |  1  2 |  42.667      0.107  2.337 |    -29.593     30.736      4.570   -0.000 |
   33 |    21 -          g | 71 |   13   13   35   36 |  1  2 |   6.371     -0.146  2.082 |     -3.119      5.556     -0.930    0.000 |
   34 |    -4 -       cbar | 71 |   13   13   35   36 |  1  2 |  17.446     -0.660  1.920 |     -5.975     16.391    -12.371    1.500 |
   35 |  2212 -         p+ |  1 |   28   34   -1   -1 |  8  0 |  79.894      0.157  2.366 |    -57.018     55.964     12.578    0.938 |
   36 |  -411 -         D- |  2 |   28   34   50   51 |  8  2 |   8.759     -0.650  1.927 |     -3.056      8.208     -6.102    1.870 |
   37 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   0.981      0.872  2.994 |     -0.970      0.145      0.968    0.938 |
   38 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   1.237      1.976  2.475 |     -0.973      0.765      4.374    0.938 |
   39 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   0.313      1.302 -1.433 |      0.043     -0.310      0.533    0.938 |
   40 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   4.723      2.125 -1.020 |      2.470     -4.025     19.486    0.938 |
   41 |   310 -       K_S0 |  1 |   18   25   -1   -1 |  9  0 |   1.192      0.152 -2.369 |     -0.854     -0.832      0.182    0.498 |
   42 |   111 -        pi0 |  2 |   18   25   52   53 |  9  2 |  31.131     -0.084 -3.076 |    -31.064     -2.052     -2.618    0.135 |
   43 |   111 -        pi0 |  2 |   18   25   54   55 |  9  2 | 134.752     -0.086 -3.075 |   -134.449     -9.026    -11.626    0.135 |
   44 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   1.650      3.321 -0.159 |      1.629     -0.262     22.802    0.938 |
   45 |   310 -       K_S0 |  1 |    0    1   -1   -1 |  2  0 |   1.133     -0.840 -2.386 |     -0.825     -0.777     -1.068    0.498 |
   46 |   421 -         D0 |  2 |   26   26   56   59 |  1  3 |   2.364      0.059 -2.840 |     -2.258     -0.702      0.139    1.865 |
   47 |   111 -        pi0 |  2 |   18   25   58   58 |  9  1 |  16.277     -0.099 -3.059 |    -16.222     -1.337     -1.618    0.135 |
   48 |    22 -      gamma |  1 |   27   27   -1   -1 |  1  0 |  12.840     -0.084 -3.080 |    -12.816     -0.795     -1.080   -0.000 |
   49 |    22 -      gamma |  1 |   27   27   -1   -1 |  1  0 |  17.208     -0.088 -3.088 |    -17.183     -0.928     -1.522    0.000 |
   50 |    11 -         e- |  1 |   36   36   -1   -1 |  1  0 |   1.215     -0.516  2.114 |     -0.628      1.040     -0.655    0.001 |
   51 |   -12 -    nu_ebar |  1 |   36   36   -1   -1 |  1  0 |   1.455     -0.960  2.154 |     -0.801      1.214     -1.621    0.000 |
